lon,lat,voterType,COLOR,id
-89.8212244915,43.9705527809,NOVOTE,#9999999,6027
-89.821221433,43.9605922783,NOVOTE,#9999999,1434
-89.8212208483,44.0598728463,DEM,#0571b0,11117
-89.8212186008,44.0315328628,REP,#ca0020,10919
-89.8212086099,43.9594051093,NOVOTE,#9999999,172
-89.8212068723,44.0933431764,REP,#ca0020,3091
-89.8211979137,43.9604355838,DEM,#0571b0,1422
-89.8211847236,43.9062037529,NOVOTE,#9999999,2055
-89.8211840174,43.956183728,DEM,#0571b0,227
-89.821176591,43.9592086881,NOVOTE,#9999999,166
-89.821173115,43.9685078279,NOVOTE,#9999999,6006
-89.8211543702,44.2301786369,DEM,#0571b0,13337
-89.8211496562,43.9590267964,DEM,#0571b0,154
-89.8211482882,43.7277734547,REP,#ca0020,4026
-89.821141004,43.973558977,DEM,#0571b0,6034
-89.821132359,44.0225759147,DEM,#0571b0,10663
-89.821121896,43.9682327176,DEM,#0571b0,6001
-89.8211188594,43.9701685101,REP,#ca0020,6025
-89.8211168016,43.8682191598,REP,#ca0020,4913
-89.8211124479,44.1111858425,DEM,#0571b0,2964
-89.8211082072,43.9679497744,NOVOTE,#9999999,6008
-89.8211028451,44.0159743913,NOVOTE,#9999999,10835
-89.821089542,43.9687744701,NOVOTE,#9999999,6016
-89.8210889886,43.9593911786,DEM,#0571b0,153
-89.82107989,43.9609335871,DEM,#0571b0,1425
-89.8210793723,43.9798208772,NOVOTE,#9999999,2354
-89.8210294815,43.9568597633,REP,#ca0020,237
-89.8210173505,43.9612696892,DEM,#0571b0,1421
-89.8210158842,43.958136981,DEM,#0571b0,158
-89.8210129209,43.9738080533,REP,#ca0020,6037
-89.8210118774,43.7176339773,NOVOTE,#9999999,4183
-89.8210081992,44.1872881327,REP,#ca0020,13726
-89.8209979316,43.9735547168,NOVOTE,#9999999,6039
-89.8209960052,43.967711731,REP,#ca0020,6003
-89.8209927199,44.0869602039,DEM,#0571b0,3087
-89.8209871285,43.9582100859,NOVOTE,#9999999,169
-89.8209698685,44.2052430802,NOVOTE,#9999999,14676
-89.8209687826,43.7163848291,NOVOTE,#9999999,4177
-89.820961155,44.1928665205,NOVOTE,#9999999,13774
-89.8209534027,43.9705548042,NOVOTE,#9999999,6030
-89.8209449931,43.9631204771,NOVOTE,#9999999,1419
-89.8209438834,43.9737878649,DEM,#0571b0,6035
-89.8209399854,43.9600393566,NOVOTE,#9999999,1441
-89.8209397801,43.9593391579,NOVOTE,#9999999,170
-89.8209392955,43.8664087587,DEM,#0571b0,4911
-89.8209336011,44.1402389724,DEM,#0571b0,2580
-89.8209257725,43.8311900079,REP,#ca0020,5471
-89.8209217836,43.994289406,NOVOTE,#9999999,11388
-89.8209176606,43.9693781574,NOVOTE,#9999999,6020
-89.8209176559,43.9741269821,REP,#ca0020,5866
-89.8209119777,44.0512586318,REP,#ca0020,10918
-89.8208970645,43.9579858181,REP,#ca0020,161
-89.820886473,43.9569696224,REP,#ca0020,235
-89.8208847743,43.9663809281,NOVOTE,#9999999,1272
-89.8208829503,43.9560430751,NOVOTE,#9999999,246
-89.8208737216,43.9607062278,REP,#ca0020,1428
-89.8208709722,43.9595662797,NOVOTE,#9999999,176
-89.8208690072,43.9951676333,NOVOTE,#9999999,11375
-89.8208686677,43.8405283181,DEM,#0571b0,5375
-89.8208650038,43.9705912934,DEM,#0571b0,6024
-89.8208614338,43.9574431061,REP,#ca0020,239
